Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
2:34.60, 36843,  2220,
2:34.80, 36829,  2155,
2:35.00, 36819,  2147,
2:35.20, 36806,  2188,
2:35.40, 36791,  2219,
2:35.60, 36791,  2074,
2:35.80, 36772,  1969,
2:36.00, 36756,  2196,
2:36.20, 36752,  3017,
2:36.40, 36756,  2589,
2:36.60, 36756,  1934,
2:36.80, 36771,  2167,
2:37.00, 36778,  1875,
2:37.20, 36769,  2288,
2:37.40, 36754,  2052,
2:37.60, 36736,  1993,
2:37.80, 36736,  1971,
2:38.00, 36720,  2283,
2:38.20, 36718,  2039,
2:38.40, 36714,  2157,
2:38.60, 36700,  3826,
2:38.80, 36700,  2300,
2:39.00, 36675,  1806,
2:39.20, 36644,  2198,
2:39.40, 36626,  2013,
2:39.60, 36623,  2248,
2:39.80, 36636,  1804,
2:40.00, 36636,  1488,
2:40.20, 36651,  2057,
2:40.40, 36658,  2486,
2:40.60, 36660,  2145,
2:40.80, 36657,  2145,
2:41.00, 36657,  2936,
2:41.20, 36651,  2125,
2:41.40, 36648,  1867,
2:41.60, 36643,  2007,
2:41.80, 36639,  1684,
2:42.00, 36639,  2455,
2:42.20, 36635,  2090,
2:42.40, 36630,  2127,
2:42.60, 36626,  2048,
2:42.80, 36625,  1969,
2:43.00, 36624,  2091,
2:43.20, 36624,  2078,
2:43.40, 36623,  2245,
2:43.60, 36622,  1898,
2:43.80, 36622,  2147,
2:44.00, 36623,  2850,
2:44.20, 36623,  1806,
2:44.40, 36622,  1751,
2:44.60, 36620,  1891,
2:44.80, 36616,  2831,
2:45.00, 36611,  2380,
2:45.20, 36608,  2009,
2:45.40, 36608,  2038,
2:45.60, 36605,  2882,
2:45.80, 36604,  2690,
2:46.00, 36604,  2408,
2:46.20, 36603,  2116,
2:46.40, 36603,  1796,
2:46.60, 36609,  2428,
2:46.80, 36622,  1939,
2:47.00, 36635,  2197,
2:47.20, 36649,  1501,
2:47.40, 36660,  2375,
2:47.60, 36660,  2004,
2:47.80, 36665,  2020,
2:48.00, 36667,  2023,
2:48.20, 36668,  1945,
2:48.40, 36664,  2037,
2:48.60, 36664,  1945,
2:48.80, 36657,  2104,
2:49.00, 36652,  1976,
2:49.20, 36649,  2085,
2:49.40, 36649,  1973,
2:49.60, 36649,  2191,
2:49.80, 36644,  2029,
2:50.00, 36640,  1948,
2:50.20, 36638,   794,
2:50.40, 36634,  2253,
2:50.60, 36633,  2218,
2:50.80, 36633,  2255,
2:51.00, 36635,  2217,
2:51.20, 36633,  2036,
2:51.40, 36639,  2167,
2:51.60, 36653,  2392,
2:51.80, 36653,  2529,
2:52.00, 36663,  1960,
2:52.20, 36685,  2167,
2:52.40, 36735,  2125,
2:52.60, 36803,  2080,
2:52.80, 36876,  1978,
2:53.00, 36876,  2081,
