Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
2:10.60, 39742,  1133,
2:10.80, 39748,  1225,
2:11.00, 39756,  1703,
2:11.20, 39756,  1876,
2:11.40, 39764,  2421,
2:11.60, 39769,  1771,
2:11.80, 39771,  1749,
2:12.00, 39772,  1513,
2:12.20, 39772,  1534,
2:12.40, 39770,  1912,
2:12.60, 39768,  2072,
2:12.80, 39767,  1988,
2:13.00, 39767,  1949,
2:13.20, 39767,  2184,
2:13.40, 39769,  2804,
2:13.60, 39768,  2355,
2:13.80, 39761,  2299,
2:14.00, 39754,  2901,
2:14.20, 39747,  2323,
2:14.40, 39747,  1637,
2:14.60, 39744,  1858,
2:14.80, 39744,  1905,
2:15.00, 39745,  2137,
2:15.20, 39745,  1807,
2:15.40, 39745,  2082,
2:15.60, 39744,  2846,
2:15.80, 39743,  2208,
2:16.00, 39741,  1988,
2:16.20, 39740,  2266,
2:16.40, 39739,  2064,
2:16.60, 39739,  2006,
2:16.80, 39740,  1904,
2:17.00, 39742,  1866,
2:17.20, 39744,  1644,
2:17.40, 39601,  2401,
2:17.60, 39601,  1754,
2:17.80, 39095,  2297,
2:18.00, 38606,  1859,
2:18.20, 38389,  2602,
2:18.40, 38441,  1956,
2:18.60, 38909,  1973,
2:18.80, 38909,  2071,
2:19.00, 39384,  1901,
2:19.20, 39596,  1946,
2:19.40, 39691,  3192,
2:19.60, 39735,  2552,
2:19.80, 39735,  2076,
2:20.00, 39755,  1986,
2:20.20, 39764,  2077,
2:20.40, 39768,  1857,
2:20.60, 39771,  2116,
2:20.80, 39771,  2021,
2:21.00, 39772,  2642,
2:21.20, 39772,  2540,
2:21.40, 39773,  2599,
2:21.60, 39773,  1983,
2:21.80, 39773,  2245,
2:22.00, 39773,  1940,
2:22.20, 39773,  2028,
2:22.40, 39773,  1985,
2:22.60, 39773,  2210,
2:22.80, 39773,  1876,
2:23.00, 39773,  2024,
2:23.20, 39773,  1999,
2:23.40, 39773,  1985,
2:23.60, 39773,  1736,
2:23.80, 39773,  1850,
2:24.00, 39773,  1904,
2:24.20, 39773,  2030,
2:24.40, 39773,  1971,
2:24.60, 39773,  2031,
2:24.80, 39773,  2033,
2:25.00, 39773,  2082,
2:25.20, 39773,  1935,
2:25.40, 39773,  2080,
2:25.60, 39773,  1733,
2:25.80, 39773,  1932,
2:26.00, 39773,  1869,
2:26.20, 39773,  2062,
2:26.40, 39773,  1711,
2:26.60, 39773,  1884,
2:26.80, 39773,  1914,
2:27.00, 39773,  2025,
2:27.20, 39773,  2032,
2:27.40, 39773,  1982,
2:27.60, 39773,  2077,
2:27.80, 39773,  2145,
2:28.00, 39773,  2208,
2:28.20, 39773,  1856,
2:28.40, 39773,  2311,
2:28.60, 39773,  2612,
2:28.80, 39773,  3175,
2:29.00, 39773,  2279,
2:29.20, 39773,  1335,
2:29.40, 39773,  1331,
2:29.60, 39773,  1219,
2:29.80, 39773,  1245,
2:30.00, 39773,  1823,
2:30.20, 39773,  1305,
2:30.40, 39773,  1146,
2:30.60, 39773,  2234,
2:30.80, 39773,  2834,
2:31.00, 39773,  2088,
2:31.20, 39773,  2122,
2:31.40, 39773,  2165,
2:31.60, 39773,  2215,
2:31.80, 39773,  2770,
2:32.00, 39773,  2166,
2:32.20, 39773,  2003,
2:32.40, 39773,  2315,
2:32.60, 39773,  2209,
2:32.80, 39773,  2328,
2:33.00, 39773,  2041,
2:33.20, 39773,  2317,
2:33.40, 39772,  1968,
2:33.60, 39771,  2023,
2:33.80, 39771,  2012,
2:34.00, 39770,  2489,
2:34.20, 39769,  2411,
2:34.40, 39770,  2127,
2:34.60, 39771,  1928,
2:34.80, 39772,  2694,
2:35.00, 39772,  3993,
2:35.20, 39772,  2380,
2:35.40, 39771,  2571,
2:35.60, 39771,  3064,
2:35.80, 39771,  1839,
2:36.00, 39771,  3567,
2:36.20, 39771,  1754,
2:36.40, 39770,     9,
2:36.60, 39768,     8,
2:36.80, 39765,    11,
2:37.00, 39763,    18,
2:37.20, 39763,    13,
2:37.40, 39763,    13,
2:37.60, 39766,    16,
2:37.80, 39769,    21,
2:38.00, 39771,  3075,
2:38.20, 39771,  1865,
2:38.40, 39773,  2586,
2:38.60, 39773,  2344,
2:38.80, 39773,  3258,
2:39.00, 39773,  2765,
2:39.20, 39773,  2770,
2:39.40, 39773,  3347,
2:39.60, 39773,  3187,
2:39.80, 39773,  3293,
2:40.00, 39773,  3224,
2:40.20, 39773,  2680,
2:40.40, 39773,  2197,
2:40.60, 39773,  2228,
2:40.80, 39773,  1316,
2:41.00, 39773,  1953,
2:41.20, 39773,  2374,
2:41.40, 39773,  4001,
2:41.60, 39773,  4007,
2:41.80, 39773,  4009,
2:42.00, 39773,  4000,
2:42.20, 39773,  3990,
2:42.40, 39773,  3998,
2:42.60, 39773,  3992,
2:42.80, 39773,  2356,
2:43.00, 39773,   341,
2:43.20, 39773,    51,
2:43.40, 39773,   504,
2:43.60, 39773,   880,
2:43.80, 39773,   513,
2:44.00, 39773,   286,
2:44.20, 39773,    47,
2:44.40, 39773,  1156,
2:44.60, 39773,  3255,
2:44.80, 39773,  1891,
2:45.00, 39773,  2356,
2:45.20, 39773,  2905,
2:45.40, 39773,  2789,
2:45.60, 39773,  2373,
2:45.80, 39773,  1432,
2:46.00, 39773,  2161,
2:46.20, 39773,  2293,
2:46.40, 39773,  2462,
2:46.60, 39773,  1924,
2:46.80, 39773,  2801,
2:47.00, 39773,  1670,
2:47.20, 39773,  2394,
2:47.40, 39773,  1260,
2:47.60, 39773,   794,
2:47.80, 39773,  1377,
2:48.00, 39773,  2884,
2:48.20, 39773,  1470,
2:48.40, 39773,  1961,
2:48.60, 39773,  1235,
2:48.80, 39773,  2632,
2:49.00, 39773,    24,
2:49.20, 39773,   212,
2:49.40, 39773,  1533,
2:49.60, 39773,   997,
2:49.80, 39774,  3230,
2:50.00, 39774,  3482,
2:50.20, 39774,  1357,
2:50.40, 39774,   205,
2:50.60, 39774,   445,
2:50.80, 39773,  1703,
2:51.00, 39773,  1306,
2:51.20, 39773,  2584,
2:51.40, 39773,  2328,
2:51.60, 39773,  2243,
2:51.80, 39773,  2005,
2:52.00, 39773,  2576,
2:52.20, 39773,  2347,
2:52.40, 39773,  1840,
2:52.60, 39773,  1856,
2:52.80, 39773,  1355,
2:53.00, 39773,  1932,
2:53.20, 39773,  1801,
2:53.40, 39773,  1972,
2:53.60, 39773,  1839,
2:53.80, 39773,  1966,
2:54.00, 39773,  2212,
2:54.20, 39773,  2503,
2:54.40, 39773,  2998,
2:54.60, 39773,  2774,
2:54.80, 39773,  3048,
2:55.00, 39773,  3056,
2:55.20, 39773,  3163,
2:55.40, 39773,  2759,
2:55.60, 39773,  2645,
2:55.80, 39773,  2601,
2:56.00, 39773,  1865,
2:56.20, 39773,  2232,
2:56.40, 39773,  1979,
2:56.60, 39773,  2029,
2:56.80, 39773,  1783,
2:57.00, 39773,  1492,
2:57.20, 39773,  1638,
2:57.40, 39773,  3969,
2:57.60, 39773,  3671,
2:57.80, 39773,  1064,
2:58.00, 39773,   344,
2:58.20, 39773,   835,
2:58.40, 39773,    51,
2:58.60, 39773,  1233,
2:58.80, 39773,     7,
2:59.00, 39773,     6,
2:59.20, 39773,     6,
2:59.40, 39773,     8,
2:59.60, 39773,    16,
2:59.80, 39773,    27,
3:00.00, 39773,   166,
3:00.20, 39773,   769,
3:00.40, 39773,  2043,
3:00.60, 39773,  1923,
3:00.80, 39773,  1860,
3:01.00, 39773,  1967,
3:01.20, 39773,  2088,
3:01.40, 39773,  2108,
3:01.60, 39773,  2332,
3:01.80, 39773,  1803,
3:02.00, 39773,  2495,
3:02.20, 39773,  2906,
3:02.40, 39773,  2669,
3:02.60, 39773,  3060,
3:02.80, 39773,  1325,
3:03.00, 39773,  3020,
3:03.20, 39773,  1979,
3:03.40, 39773,  1603,
3:03.60, 39773,  1342,
3:03.80, 39773,  2276,
3:04.00, 39774,  2467,
3:04.20, 39774,  1483,
3:04.40, 39774,  1893,
3:04.60, 39774,  2878,
3:04.80, 39774,  1718,
3:05.00, 39773,  3694,
