Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
2:31.00, 31816,  2065,
2:31.20, 31807,  2073,
2:31.40, 31777,  2048,
2:31.60, 31764,  3071,
2:31.80, 31764,  2235,
2:32.00, 31755,  2181,
2:32.20, 31747,  2035,
2:32.40, 31761,  2101,
2:32.60, 31758,  2443,
2:32.80, 31758,  2100,
2:33.00, 31751,  1914,
2:33.20, 31749,  2098,
2:33.40, 31746,  1961,
2:33.60, 31744,  2117,
2:33.80, 31743,  2159,
2:34.00, 31743,  2332,
2:34.20, 31738,  2025,
2:34.40, 31733,  2118,
2:34.60, 31728,  2158,
2:34.80, 31722,  2368,
2:35.00, 31722,  2028,
2:35.20, 31716,  2089,
2:35.40, 31710,  2192,
2:35.60, 31704,  2050,
2:35.80, 31697,  2190,
2:36.00, 31690,  2156,
2:36.20, 31690,  2371,
2:36.40, 31683,  2104,
2:36.60, 31677,  2105,
2:36.80, 31674,  2204,
2:37.00, 31673,  1919,
2:37.20, 31673,  2201,
2:37.40, 31671,  1960,
2:37.60, 31668,  2537,
2:37.80, 31663,  1865,
2:38.00, 31660,  2059,
2:38.20, 31660,  2296,
2:38.40, 31662,  2072,
2:38.60, 31658,  2080,
2:38.80, 31655,  1962,
2:39.00, 31647,  2442,
2:39.20, 31635,  1933,
2:39.40, 31635,  2103,
2:39.60, 31629,  1995,
2:39.80, 31623,  1972,
2:40.00, 31617,  2046,
2:40.20, 31613,  2838,
2:40.40, 31613,  2188,
2:40.60, 31609,  1884,
2:40.80, 31606,  2125,
2:41.00, 31599,  1800,
2:41.20, 31587,  2249,
2:41.40, 31581,  2038,
2:41.60, 31581,  2041,
2:41.80, 31578,  2137,
2:42.00, 31569,  1783,
2:42.20, 31574,  2120,
2:42.40, 31568,  1891,
2:42.60, 31568,  2376,
2:42.80, 31558,  1921,
2:43.00, 31558,  1902,
2:43.20, 31549,  2207,
2:43.40, 31543,  2386,
2:43.60, 31536,  3884,
2:43.80, 31536,  2251,
2:44.00, 31523,  2111,
2:44.20, 31506,  1600,
2:44.40, 31490,  1894,
2:44.60, 31478,  1970,
2:44.80, 31478,  2048,
2:45.00, 31475,  2160,
2:45.20, 31478,  1933,
2:45.40, 31481,  2154,
2:45.60, 31481,  2014,
2:45.80, 31481,  2545,
2:46.00, 31480,  2206,
2:46.20, 31478,  2144,
2:46.40, 31476,  2126,
2:46.60, 31475,  2116,
2:46.80, 31475,  2215,
2:47.00, 31475,  2039,
2:47.20, 31473,  1855,
2:47.40, 31471,  2327,
2:47.60, 31468,  1870,
2:47.80, 31465,  1861,
2:48.00, 31465,  2168,
2:48.20, 31461,  1958,
2:48.40, 31457,  1971,
2:48.60, 31454,  2051,
2:48.80, 31451,  2212,
2:49.00, 31448,  2031,
2:49.20, 31448,  2686,
2:49.40, 31444,  2230,
2:49.60, 31441,  1981,
2:49.80, 31437,  2016,
2:50.00, 31433,  2076,
2:50.20, 31433,  2193,
2:50.40, 31430,  1961,
2:50.60, 31426,  1959,
2:50.80, 31421,  2135,
2:51.00, 31417,  1979,
2:51.20, 31417,  2269,
2:51.40, 31412,  1894,
2:51.60, 31408,  2397,
2:51.80, 31404,  2032,
2:52.00, 31400,  1977,
2:52.20, 31395,  2077,
2:52.40, 31395,  2022,
2:52.60, 31392,  2128,
2:52.80, 31388,  1957,
